category,prefix,title,url
01_Workflows,wf,Configure workflow schemes,https://support.atlassian.com/jira-cloud-administration/docs/configure-workflow-schemes/
01_Workflows,wf,Enable a workflow,https://support.atlassian.com/jira-cloud-administration/docs/manage-issue-workflows/
01_Workflows,wf,How to create workflows for business spaces,https://support.atlassian.com/jira-software-cloud/docs/how-to-create-workflows/
01_Workflows,wf,Configure advanced work item workflows,https://support.atlassian.com/jira-cloud-administration/docs/configure-advanced-issue-workflows/
01_Workflows,wf,Best practices for workflows in Jira,https://support.atlassian.com/jira-software-cloud/docs/best-practices-for-workflows-in-jira/
01_Workflows,wf,Use the simplified workflow,https://support.atlassian.com/jira-software-cloud/docs/use-the-simplified-workflow/
01_Workflows,wf,Manage workflows and schemes,https://support.atlassian.com/jira-cloud-administration/docs/create-and-manage-issue-workflows-and-issue-workflow-schemes/
02_Permissions,perm,Create a new permission scheme,https://support.atlassian.com/jira-cloud-administration/docs/create-a-new-permission-scheme/
02_Permissions,perm,Manage permissions,https://support.atlassian.com/jira-cloud-administration/docs/manage-permissions/
02_Permissions,perm,What are permission schemes in Jira,https://support.atlassian.com/jira-cloud-administration/docs/what-are-permission-schemes-in-jira/
02_Permissions,perm,Grant space permissions using permission schemes,https://support.atlassian.com/jira-cloud-administration/docs/grant-space-permissions-using-permission-schemes/
