timestamp,chunk_id,category,collection,status,reason
2026-09-06T16:52:02+00:00,proj_003_c06,04_Projects,jirva_400,success,upserted
2026-09-06T16:52:05+00:00,proj_004_c01,04_Projects,jirva_400,success,upserted
2026-09-06T16:52:05+00:00,fld_001_c01,05_Fields,jirva_400,success,upserted
2026-09-06T16:52:05+00:00,fld_002_c01,05_Fields,jirva_400,success,upserted
2026-09-06T16:52:05+00:00,fld_002_c02,05_Fields,jirva_400,success,upserted
2026-09-06T16:52:05+00:00,fld_003_c01,05_Fields,jirva_400,success,upserted
2026-09-06T16:52:05+00:00,fld_003_c02,05_Fields,jirva_400,success,upserted
2026-09-06T16:52:05+00:00,fld_003_c03,05_Fields,jirva_400,success,upserted
2026-09-06T16:52:05+00:00,fld_003_c04,05_Fields,jirva_400,success,upserted
2026-09-06T16:52:05+00:00,fld_003_c05,05_Fields,jirva_400,success,upserted
2026-09-06T16:52:05+00:00,fld_003_c06,05_Fields,jirva_400,success,upserted
2026-09-06T16:52:05+00:00,fld_004_c01,05_Fields,jirva_400,success,upserted
2026-09-06T16:52:05+00:00,fld_004_c02,05_Fields,jirva_400,success,upserted
2026-09-06T16:52:05+00:00,fld_005_c01,05_Fields,jirva_400,success,upserted
2026-09-06T16:52:05+00:00,fld_005_c02,05_Fields,jirva_400,success,upserted
2026-09-06T16:52:05+00:00,fld_005_c03,05_Fields,jirva_400,success,upserted
2026-09-06T16:52:05+00:00,fld_006_c01,05_Fields,jirva_400,success,upserted
2026-09-06T16:52:08+00:00,fld_006_c02,05_Fields,jirva_400,success,upserted
2026-09-06T16:52:08+00:00,srch_001_c01,06_Search,jirva_400,success,upserted
2026-09-06T16:52:08+00:00,srch_002_c01,06_Search,jirva_400,success,upserted
2026-09-06T16:52:08+00:00,srch_002_c02,06_Search,jirva_400,success,upserted
2026-09-06T16:52:08+00:00,srch_002_c03,06_Search,jirva_400,success,upserted
2026-09-06T16:52:08+00:00,srch_002_c04,06_Search,jirva_400,success,upserted
2026-09-06T16:52:08+00:00,srch_002_c05,06_Search,jirva_400,success,upserted
2026-09-06T16:52:08+00:00,srch_002_c06,06_Search,jirva_400,success,upserted
2026-09-06T16:52:08+00:00,srch_002_c07,06_Search,jirva_400,success,upserted
2026-09-06T16:52:08+00:00,srch_002_c08,06_Search,jirva_400,success,upserted
2026-09-06T16:52:08+00:00,srch_002_c09,06_Search,jirva_400,success,upserted
2026-09-06T16:52:08+00:00,srch_002_c10,06_Search,jirva_400,success,upserted
2026-09-06T16:52:08+00:00,srch_002_c11,06_Search,jirva_400,success,upserted
2026-09-06T16:52:08+00:00,srch_002_c12,06_Search,jirva_400,success,upserted
2026-09-06T16:52:08+00:00,srch_002_c13,06_Search,jirva_400,success,upserted
2026-09-06T16:52:08+00:00,srch_002_c14,06_Search,jirva_400,success,upserted
2026-09-06T16:52:13+00:00,srch_002_c15,06_Search,jirva_400,success,upserted
2026-09-06T16:52:13+00:00,srch_002_c16,06_Search,jirva_400,success,upserted
2026-09-06T16:52:13+00:00,srch_002_c17,06_Search,jirva_400,success,upserted
2026-09-06T16:52:13+00:00,srch_002_c18,06_Search,jirva_400,success,upserted
2026-09-06T16:52:13+00:00,srch_002_c19,06_Search,jirva_400,success,upserted
2026-09-06T16:52:13+00:00,srch_002_c20,06_Search,jirva_400,success,upserted
2026-09-06T16:52:13+00:00,srch_002_c21,06_Search,jirva_400,success,upserted
2026-09-06T16:52:13+00:00,srch_002_c22,06_Search,jirva_400,success,upserted
2026-09-06T16:52:13+00:00,srch_002_c23,06_Search,jirva_400,success,upserted
2026-09-06T16:52:13+00:00,srch_002_c24,06_Search,jirva_400,success,upserted
2026-09-06T16:52:13+00:00,srch_002_c25,06_Search,jirva_400,success,upserted
2026-09-06T16:52:13+00:00,srch_003_c01,06_Search,jirva_400,success,upserted
2026-09-06T16:52:13+00:00,srch_003_c02,06_Search,jirva_400,success,upserted
2026-09-06T16:52:13+00:00,srch_003_c03,06_Search,jirva_400,success,upserted
2026-09-06T16:52:13+00:00,srch_003_c04,06_Search,jirva_400,success,upserted
2026-09-06T16:52:13+00:00,srch_003_c05,06_Search,jirva_400,success,upserted
2026-09-06T16:52:16+00:00,srch_003_c06,06_Search,jirva_400,success,upserted
2026-09-06T16:52:16+00:00,srch_003_c07,06_Search,jirva_400,success,upserted
2026-09-06T16:52:16+00:00,srch_003_c08,06_Search,jirva_400,success,upserted
2026-09-06T16:52:16+00:00,srch_003_c09,06_Search,jirva_400,success,upserted
